day,date,new_cases_malaysia,total_cases_malaysia,new_death_malaysia,total_death_malaysia,new_recovered_malaysia,total_recovered_malaysia
102,04-05-20,55,6353,0,105,71,4484
103,05-05-20,30,6383,2,107,83,4567
104,06-05-20,45,6428,0,107,135,4702
105,07-05-20,39,6467,0,107,74,4776
106,08-05-20,68,6535,1,108,88,4864
107,09-05-20,54,6589,0,108,65,4929
108,10-05-20,67,6656,0,108,96,5025
109,11-05-20,70,6726,1,109,88,5113
110,12-05-20,16,6742,0,109,110,5223
111,13-05-20,37,6779,2,111,58,5281
112,14-05-20,40,6819,1,112,70,5351
113,15-05-20,36,6855,0,112,88,5439
114,16-05-20,17,6872,1,113,73,5512
115,17-05-20,22,6894,0,113,59,5571
116,18-05-20,47,6941,0,113,44,5615
117,19-05-20,37,6978,1,114,31,5646
118,20-05-20,31,7009,0,114,60,5706
119,21-05-20,50,7059,0,114,90,5796
120,22-05-20,78,7137,1,115,63,5859
121,23-05-20,48,7185,0,115,53,5912
122,24-05-20,60,7245,0,115,33,5945
123,25-05-20,172,7417,0,115,34,5979
124,26-05-20,187,7604,0,115,62,6041
125,27-05-20,15,7619,0,115,42,6083
126,28-05-20,10,7629,0,115,86,6169
127,29-05-20,103,7732,0,115,66,6235
128,30-05-20,30,7762,0,115,95,6330
129,31-05-20,57,7819,0,115,23,6353
130,01-06-20,38,7857,0,115,51,6404
131,02-06-20,20,7877,0,115,66,6470
132,03-06-20,93,7970,0,115,61,6531
133,04-06-20,277,8247,0,115,28,6559
134,05-06-20,19,8266,1,116,51,6610
135,06-06-20,37,8303,1,117,25,6635
136,07-06-20,19,8322,0,117,39,6674
137,08-06-20,7,8329,0,117,20,6694
138,09-06-20,7,8336,0,117,281,6975
